"sku","name"
"Blacktie148S-1","Dior BLACKTIE148S AM5BN Black/Dark Grey"
"Blacktie148S-2","Dior BLACKTIE148S AM670 Dark Havana Black/Brown"
"Blacktie148S-3","Dior BLACKTIE148S M5WHD Grey Black/Grey"
"Blacktie148s-4","Dior BLACKTIE148S M5X70 Brown Green/Brown"
"Blacktie149-1","Dior BLACKTIE149 AM5 Black"
"Blacktie149-2","Dior BLACKTIE149 AM6 Dark Havana Black"
"Blacktie149-3","Dior BLACKTIE149 M5S Blue Gray Black"
"Blacktie149-4","Dior BLACKTIE149 M5W Grey Black Crystal"
"Blacktie149-5","Dior BLACKTIE149 M5X Brown Green Crystal"
"Blacktie149-6","Dior BLACKTIE149 M5Y Light Grey Black"
"Blacktie150-1","Dior BLACKTIE150 AM5 Black"
"Blacktie150-2","Dior BLACKTIE150 AM6 Dark Havana Black"
"blacktie150-3","Dior BLACKTIE150 M5S Blue Grey Crystal"
"Blacktie150-4","Dior BLACKTIE150 M5W Grey Black Crystal"
"Blacktie150-5","Dior BLACKTIE150 M5X Brown Green Black"
"Blacktie150-6","Dior BLACKTIE150 M5Y Light Grey Black"
"Blacktie151-1","Dior BLACKTIE151 AM5 Black"
"Blacktie151-2","Dior BLACKTIE151 AM6 Dark Havana"
"Blacktie151-3","Dior BLACKTIE151 M5S Blue Grey Black"
"Blacktie151-4","Dior BLACKTIE151 M5W Grey Black Crystal"
"Blacktie151-5","Dior BLACKTIE151 M5X Brown Green Black"
"Blacktie151-6","Dior BLACKTIE151 M5Y Light Grey Black"
"BO0031/S-1","Boss Orange BO0031/S 807JJ"
"BO0031/S-2","Boss Orange BO0031/S AB6LN"
"BO0031/S-3","Boss Orange BO0031/S ACNJJ"
"BO0031/S-4","Boss Orange BO0031/S AELJJ"
"BO0031/S-5","Boss Orange BO0031/S IL5PN"
"Boss 0159-3","Hugo Boss 0159 SIF Olive Crystal"
"Boss 0197-2","Hugo Boss 0197 H9Y Gold Havana "
"Boss 0226-5","Hugo Boss 0226 2JH Black Orange"
"Boss 0227-2","Hugo Boss 0227 2XK Black"
"Boss 0227-3","Hugo Boss 0227 319 Red"
"Boss 0227-4","Hugo Boss 0227 31C Olivia"
"Boss 0227-5","Hugo Boss 0227 527 Blue"
"Boss 0228-1","Hugo Boss 0228 2VM Brown Crystal"
"Boss 0228-3","Hugo Boss 0228 319 Red Crystal"
"Boss 0248-1","Hugo Boss 0248 65Z Black"
"Boss 0248-2","Hugo Boss 0248 P3E Matte Red"
"Boss 0248-3","Hugo Boss 0248 P4C Green Crystal"
"Boss 0248-4","Hugo Boss 0248 P53 Blue"
"Boss 0248-5","Hugo Boss 0248 S1P Ruthenium Grey"
"Boss 0249-1","Hugo Boss 0249 32W Red"
"Boss 0249-2","Hugo Boss 0249 33K Blue"
"Boss 0249-3","Hugo Boss 0249 807 Black"
"Boss 0249-4","Hugo Boss 0249 FY8 Green Crystal"
"Boss 0249-5","Hugo Boss 0249 HKN Crystal White"
"Boss 0249-6","Hugo Boss 0249 VF6 Grey"
"Boss 0250-1","Hugo Boss 0250 AGL Gunmetal Black"
"Boss 0250-2","Hugo Boss 0250 FNB Matte Black"
"Boss 0250-3","Hugo Boss 0250 OMM Black White"
"Boss 0250-4","Hugo Boss 0250 P6T Ruthenium Dark Green"
"Boss 0250-5","Hugo Boss 0250 P6X Ruthenium White"
"Boss 0250-6","Hugo Boss 0250 P72 Black Orange"
"Boss 0250-7","Hugo Boss 0250 P9P Dark Ruthenium Blue"
"Boss 0257-2","Hugo Boss 0257 HIX Crystal White"
"Boss 0257-3","Hugo Boss 0257 S1A Nut Shiny "
"Boss 0257-4","Hugo Boss 0257 S80 Dark Pink"
"Boss 0257-5","Hugo Boss 0257 S95 Grey Azure"
